subid,gender,condition,error,trial
32,2,0,2,25
32,2,0,2,26
32,2,0,4,27
32,2,0,4,28
32,2,0,1,29
32,2,0,1,30
32,2,0,1,31
32,2,0,3,32
32,2,0,0,33
32,2,0,3,34
32,2,0,1,35
32,2,0,2,36
32,2,0,1,37
32,2,0,6,38
32,2,0,2,39
32,2,0,1,40
32,2,0,2,41
32,2,0,6,42
33,1,0,5,1
33,1,0,3,2
33,1,0,5,3
33,1,0,8,4
33,1,0,1,5
33,1,0,3,6
33,1,0,3,7
33,1,0,7,8
33,1,0,0,9
33,1,0,2,10
33,1,0,2,11
33,1,0,1,12
33,1,0,2,13
33,1,0,3,14
33,1,0,4,15
33,1,0,1,16
33,1,0,0,17
33,1,0,6,18
33,1,0,4,19
33,1,0,1,20
33,1,0,0,21
33,1,0,3,22
33,1,0,7,23
33,1,0,6,24
33,1,0,4,25
33,1,0,2,26
33,1,0,8,27
33,1,0,2,28
33,1,0,2,29
33,1,0,0,30
33,1,0,4,31
33,1,0,3,32
33,1,0,3,33
33,1,0,2,34
33,1,0,0,35
33,1,0,2,36
33,1,0,7,37
33,1,0,2,38
33,1,0,4,39
33,1,0,1,40
33,1,0,3,41
33,1,0,0,42
34,1,0,1,1
34,1,0,4,2
34,1,0,3,3
34,1,0,5,4
34,1,0,3,5
